147	PADMAOIL	174.9	180	174.7	174.9	175.5	-0.6	219	2.7070	15,292
148	PHPMF1	3.4	3.5	3.3	3.4	3.5	-0.1	105	2.6970	789,669
149	MJLBD	88.8	89.2	88.5	88.8	89	-0.2	180	2.6960	30,402
150	EIL	48.6	50.9	45.5	48.6	49.5	-0.9	240	2.6850	55,276
151	ADNTEL	62	64.9	61.2	62	61.7	0.3	250	2.6770	42,733
152	NTLTUBES	70.6	71.7	70.4	70.6	70.6	0	185	2.6590	37,647
153	SAIHAMCOT	12.4	12.7	12.3	12.4	12.5	-0.1	167	2.6560	213,753
154	PREMIERCEM	46	47.9	45.5	46	46.7	-0.7	286	2.6280	57,102
155	MTB	10.5	10.6	10.4	10.5	10.6	-0.1	65	2.5690	245,563
156	JANATAINS	21.9	22.2	21.9	22	21.9	0	91	2.5630	116,448
157	SILCOPHL	13.4	13.9	13.3	13.4	13.8	-0.4	141	2.5290	187,077
158	SAMORITA	53.6	55.1	53.3	53.6	55	-1.4	138	2.5280	46,824
159	ARGONDENIM	15	15.4	15	15	15.2	-0.2	100	2.4520	162,186
160	ISLAMICFIN	8.7	9.1	8.6	8.7	8.7	0	199	2.4320	274,160
161	GEMINISEA	108	111.5	107.7	108	108.8	-0.8	257	2.3960	22,114
162	KOHINOOR	476	480	465.1	473.6	475	1	281	2.3660	5,012
163	INTECH	18	18.5	17.7	17.8	17.8	0.2	641	2.3380	129,163
164	SHASHADNIM	17.2	17.4	17.2	17.3	17.2	0	102	2.2990	133,045
165	ACMELAB	68.4	68.9	68.2	68.3	68.4	0	142	2.2860	33,417
166	CVOPRL	133.9	135	132.2	132.5	133.9	0	138	2.2790	17,094
167	MEGHNAINS	21.8	22.2	21.7	21.8	21.8	0	228	2.2780	104,189
168	STYLECRAFT	47.9	50.4	47.8	48.1	49	-1.1	237	2.2560	46,630
169	JAMUNAOIL	170.6	171.7	170.3	170.6	170.9	-0.3	211	2.2470	13,161
170	DGIC	23.4	23.8	23.1	23.3	23.5	-0.1	120	2.2340	95,485
171	NHFIL	21.2	22.1	21.1	21.2	21.5	-0.3	165	2.2180	103,635
172	GQBALLPEN	157.1	160.5	157.1	159.3	158.9	-1.8	129	2.1370	13,425
173	ICB3RDNRB	4.7	4.8	4.7	4.7	4.7	0	28	2.1330	453,662
174	ISNLTD	40	41.3	39.9	40	40.9	-0.9	131	2.0790	51,915
